Text,Score,Suggestion
تازه خریدم  تقریبا یه غذا ساز کوچیکه ,80,1
دیروز به دستم رسید  سیستم اوبونتو روش نصبه خیلی زود شارژ خالی می کنه  کیبرد نور پس زمینه داره  عجیبه که همه سایتها نوشتن نور پس زمینه نداره  نداشتن درایو نوری آزار دهنده ست  در کل بنظرمیاد به قیمتش نمی ارزه  نکته ای که باید بگم اینه که رم 4 گیگ لپتاپ روی برد لحیم شده  اسلات رم خالیه ,56,2
در این رنج قیمت یکی از بهترین گزینه های پیش روی شما بدون شک همین مدل اتوی تفال هست  طراحی   کیفیت ساخت   متریال همه و همه بی نقص و درجه یک هنگام اتوکشی هیچ ردی از آب یا  لک سفید از خود جا نمیگذاره و نه تنها از اتو کردن خسته نمیشید بلکه دلتون میخواد که ادامه بدید و تمامی لباسهای خودتون رو اتو بزنید   ,96,1
به نسبت قیمت و عملکردی که از لپ تاپم میخواستم  درس خوندن و گاهی فیلم دیدن  تا این لحظه خوب بوده باید ببینید از لپتاپتون چی میخواید  ,56,2
هرکسی دنبال کیفیت تصویر هست حتما این برند مد نظر داشته باشه کنتراست تصویر در این تلویزیون ها واقعا عالیه شدت نور سفید بالایی داره و شدت نور مشکی نسبتا کمه این دو باعث میشن که کیفیت تصویر و کنتراست تصویر بالایی داشته باشه تلویزیون هایی تو این رده قیمتی شدت نور سفیدشون حدود 100 تا 250 کاندلا بر متر مربع اما تلویزیون های فلیپس بالای 300 کاندلا بر متر مربع هست که این باعث میشه تراز سفیدی افزایش پیدا کنه واقعا کیفیت خوبی داره تلویزیون های فلیپس ,88,1
این هدفون  در حال حاضر صدای بسیار بی کیفیتی دارد  به طوری که پس از حدود 30 دقیقه استفاده با حجم صدای کم نیز باعث درد گرفتن گوش من شد  قرار گیری گوش در  داخل این هدفون از جهت اینکه به لاله گوش فشار نمی آورد ویژگی خوبی است ولی از طرفی باعث گرم شدن آزار دهنده ی گوش می شود  در مجموع این هدفون برای من قابل استفاده نبود  در ضمن بسته بندی فرستاده شده از این هدفون با عکس موجود در دیجی کالا کمی متفاوت بود و جعبه ی آن به رنگ سبز و سفید است   ,20,3
به شدت از دیجی ناراضی ام  لوله پلاستیکی بود  لوازم جانبی داخل جعبه طبق دفترچه اش به شدت ناقص بود  کیسه یدکی که باید داخلش باشه نبود  ولی خود جارو خوبه  پشیمونم که از دیجی خریدم ,56,2
عالیه   واقعا راضی ام   واقعا می ارزه   ,100,1
2ماهه خریدم و فعلا ک راضیم ازش ,80,1
با سلام و تشکر به مدیریت و پرسنل صادق و منظم دی جی کالا این محصول رو امروز خریدم چنتا برش و ساب هم زدم خیلی خوب و رضایت بخش هستشرنسبت به پولی که دادم راضی هستم  ممنون ,96,1
من این محصول رو سفارش دادم تازه به دستم رسیده ممنون از دیجی کالا عزیز ,100,1
دوستان با این پول بدون گارانتی هم دیگه نمیشه خرید دلارو که میبینین خودتون در ضمن تصویرش واقعا عالیه ,88,1
من دو ساله که دارمش  یک کلام  عالیه  یه رم 120 گیگ هم روش گذاشتم  ,60,1
اتوی خوبیه خوش دسته و سبک بخار دهی خیلی خوبی داره فقط یکم زیادی رسوب میگیره اون بیشتر تقصیر  آب تهرانه ,80,1
خیلی لپ تاپ عالیه و اصلا امکان نداره لپتاپی از این بهتر تو این رنج قیمت پیدا کنید خیلی سبکه و خیلی نازکه یکی از ویژگی های خوبش اینه که DVD خوان نداره که این خیلی زیباش کرده من فکر میکردم دی وی دی رام خیلی به کار میاد ولی بعدا فهمیدم فقط موقع نصب نرم افزار به کار میاد  یه مشکلی کوچیک داره که بعضی موقع ها هنگ میکنه مثلا دو هفته یه بار که زیاد مشکلی خاصی نیست  در کل وقتی موجود شد بخرید از دستتون نره  ,96,1
خیلی ناراضیم ازش همون اوایل دوبار فرستادمش برای تعمیر و هیچ وقت هم اساسی تعمیر نشد نمایندگی مجاز هم نتونست تعمیرش کنه هیچ وقت نخرید هیچ وقت ,92,3
این خیلی هدفون عالیه بیسش به اندازس بعضی ها میگفتن کمه وضوح صدا عالیه به طوری که کاملا متوجه ریزه کاری های آهنگ میشین کیفیت بدنه اش خوبه روی گوش خیلی خوب قرار میگیره تبدیل 3 5 به 6 5 تو جعبه خیلی با کیفیته در کل خریدش رو پیشنهاد میکنم ,92,1
با این دستگاه سفت ترین موادو به راحتی میشه مخلوط کرد و تیغه روان و برنده ای داره و خیلی کاربردیه ,100,1
سلام اگر باسه هرکاری دارین سمت نوت بوک میرین یک اشتباه بزرگ گرفتن بوک های اپل  عملکرد فوق العاده سرویس و برنامه های متعدد شرکت میکروسافت و هماهنگی بی نظیر ویندوز و سرفیس جای شک نمیزاره  پردازشگر قویش حتی اجازه میده تا بازی pes 2017 رو بازی کنین  pes Bazaa دوستان در یک کلام اگر برای کاری به جز کلاس گذاشتن که من به قاطعیت میتونم بگم با لووس شدن بیش از حد اپل الان سرفیس با مارک زیبای میکروسافت پشتش حتی این ویژیگی نوت ها اپلم که میشه گفت تنها چیزی که سر تر از سرفیس بودم گرفت  شک نکنین سرفیسُ انتخاب کنین  ,92,1
نسبت به قیمتش می ارزه  برای جدا نمودن باتری حتما باید اچار به دست شد  ,72,1
همه برنامه و بازی های نیمه سنگین تا حدودی سنگین رو باز میکنه من خودم از دیجی کالا خریدم راضیم ازش ,100,2
خیلی وقت بود دنبال درپوش ماکروویو بودم  من خریدم و واقعا از خریدم راضی هستم  دیجی جون اگه سایزهای دیگرو هم بیاری مطمئن باش اولین نفری هستم که می خرم    ,60,1
در یک کلام عااالی خودم نصب کردم و از دیجی کالا هم گرفتم خیلی عالیه ,96,1
عالی بود ماندگاری و پوشندگی زیاد قیمتشم خوبه اما فک کنم برا پوست خشک مناسب نباشه منپوستم چربه قشنگ روش میشینه  نظرتو مهمه ,100,1
من این تلویزیون رو چند هفته س که خریدم  کیفیتش خیلی خوبه  به خصوص تو شبکه های خودمون البته باید توجه کرد که کیفیت شبکه های ملی خیلی پایین و در حد تلویزیون های سیاه و سفید قدیمه و تلویزیون ها تقصیری ندارن که کیفیتشون بالاس  برخلاف چیزی که دیجیکالا نوشته این تلویزیون بلوتوث داره  فکر کنم دیجیکالا اصلا به مشخصات کالا دقت نمیکنه   چیز جالبی که دیدم این بود که این مدل رو هرجا سرچ کردم فقط تو سایتای ایرانی میاورد  یکم موقع سویچ کردن کانالا تأخیر داره ولی به نظرم منطقیه  در کل تلویزیون خوب و باکیفیتیه  به نسب قیمتش خیلی خوبه رابط هوشمندش خیلی ساده و راحته  تلویزیون اینترنتی آیو هم خیلی خوبه ولی خیلی حجم مصرف میکنه  اگه یه تلویزیون بزگ که شبکه های ملی رو با کیفیت متوسط  نشون بده و خمیده باشه این تلویزیون یه انتخاب عالیه  دقت کنید که تلویزیون ها مثل موبایلامون نمیتونن کیفیت های پایین رو تطبیق بدن و با کیفیت بالا نشون بدن  پس اگه تلویزیون  با کیفیت 4k میخرید انتظار نداشته باشید فیلم کیفیت اچ دی رو خوب نشون بده چون اون برای کیفیت 4k ساخته شده   ,68,1
لپتاب خوبیه در کل کار راه اندازه و حملش راحته اندازه یه کتابه تقریبا ,60,2
هدفون خوبی است ولی برد حدود 12 متر است ضمنا فقط با دانگل خودش ارتباط بر قرار می کند و بلوتوس موبایل آن را نمی شناسد   تنها راه برای موبایل اتصال دانگل از کابل تبدیل otg است   ,84,1
سفارش آلمان و ساخت اسلوونی هست  جنسش خیلی خوب و با کیفیت هست و هم تیغه ی خودش و هم تیغه ی ظرفی که همراهش هست بسیار خوب و با کیفیته  من ازش خیلی راضی هستم  حتما پیشنهاد میکنم  ,100,1
نسبت به قیمتش  لپ تاپ مناسبیه  RAM 12 گیگ Cor i5 برای کاربری عمومی عالیه  کاش ویندوز روش نصب بود یکم بخاطر نصب سیستم عامل مشکل داشتم درضمن دیجیکالا ننوشته  ولی کیف و ماوس اورجینالم همراش بود  کلا راضی ام ازش ,64,1
من حدود 6 ماهی میشه که این لپتاپو دارم از خود دیجی هم گرفتم کیفیت بدنه زیاد جالب نیست ولی اگه فرد با سلیقه ای هستید اصلا جای نگرانی نیست   عملکرد لپتاپ عالی هستش توی بازی هایی مثل csgo نزدیک 300 بهتون اف پی اس میده توی بازی های سنگینی مثل gta v روی مدیوم تا 150 ممکنه بهتون اف پی اس بده با یه cool pad بگیرید حتما چون طی مدت زیادی که باهاش بازی یا استفاده سنگین بکنید کول پد کمک میکنه که عکلکرد اصلا افت نداشته باشه   باطریش طبق خود بررسی تا 4 ساعت 40 دقیقه دووم میاره خیلی ساختار قشنگی داره لپتاپ و خیلی هم قوی هستش هارد 2 تراش کامل پوشش فایلاتونو میدی کیفیت هارد HHD ایش هم خیلی عالیه تا پیک سرعت 1 گیگ هم به من داده کیفیت اسپیکرشم خوبه در حد قابل قیولی هست   در کل پیشنهاد میشه شک نکنید  ,88,1
5روز هست که به دستم رسیده عالی هستش از هر لحاظ مکش فوق العاده خوبی داره صداش هم خوب هست به نظرم در خریدش شک نکنید بهترین جارو برقی هست تو این رنج قیمت ,100,1
تو این رنج قیمت عاالیه فوق العادس ,100,1
دوساله دارمش یبار هنگ نکرده چندبارم افتاده اخ نگفته نه گلسی نه قابی نه هیچی روش نداختم یه مزیت عالیشم اینه که سیم شارژش بلنده برخلاف بقیه گوشیا فقط حافظش ضعیفه 4جی هم نیست ,60,1
من هم موافقم که دوربین یه گوشی یک میلیونی کار این دوربین رو میکنه تو حالتهای اتومات که 99 درصد اوقاته  خریدم ولی از دوربین گوشیم که ال جی جی سه هست همش استفاده میکنم و کیفیت عکسهاش با مقایسه رو مونیتور لپتاپ با این دوربین برابره  از نظر من دوره این دوربین ها سر اومده بیشتر بفکر گوشی قوی باشید  ,60,1
مصرف باطریش زیاده هر بیست روز یک عدد ,60,1
این جارو را حدود یک ماه پیش خریدم و از کارکردش بسیار راضیم  طراحی آن خاص است و سلیقه ای   ولی اصل موضوع کارایی است که  بسیار کارآمد است   البته مایعات را هم جمع نمی کند که خیلی مهم نیست   ,88,1
سلام دوستان همینطور که قول داده بودم میخام این لپ تاپو براتون نقدش کنم اولا ظاهر بسیار زیبایی داره  سرعتش خوبه نسبت به قیمتش تاچ پدش ضعیفه و در کل به موس نیازه یکی از نقاط ضعفش که واقعا منو اذیت کرد نبود درایور ها تو کارتن بود اثر انگشت هم که برراحتی جذب میکنه و زود پاک نمیشه باید زور بزنین تا پاک شه کلا من از خریدم واقعا راضیم امیدوارم مطالب خوبی اراعه کرده باشم ,60,1
اگر با روشنایی کم صفحه نمایش و پلاستیکی بودن مشکلی ندارید در خریدش شک نکنید ,92,1
کاربردی و زیبا و با نور پس زمینه عالی و سیستم صوتی بلند و رسا  توی این یکسالی که ازش استفاده میکنم  بسیار ازش راضیم محصولات اچ پی واقعا عالی هستن  ,92,1
تلویزیون خوبیه  من مشکلی ندیدم فقط آدم فکر میکنه باید آپشنهای خیلی بیشتری ببینه به نسبت قیمت که البته فقط یک انتظار هست  کیفیت نمایش کانالهای sd هم قابل از نظر من قابل قبوله و طوری نیست که نگرانش باشید  ,56,1
من چند ماه است که این محصول را خریداری کرده ام و از هر لحاظ خرید این محصول را پیشنهاد میکنم    با تشکر از  دی جی کالا ,96,1
عالیه من خیلی راضیم    ,100,1
این در باز کن فقط برای باز کردن درب بطری نوشیدنی کاربرد داره و واسه استفاده خانگی ضروری به نظر نمیاد  بهتر بود که امکان باز کردن قوطی و کنسرو رو بهش اضافه میکردن  ,72,2
2 سالیه ک خریدم و تا الان خیلی راضیم ازش ب نسبت قیمت عالی از جنس ایرانی بعید البته پارس خزر  قدمت زیادی داره  تنها ایرادی ک میشه ازش گرفت اینه ک گاهی اوقات دور چپ گرد و راستگرد ک میخوا انتخاب کنه رو گیج میزنه البته ایراد مهمی نیست فقط گفتم ک تنها ایرادش همینه و هیچ مشکلی تو این دو سال نداشته ,88,1
من تابستون از دیجی خریدمش  خیلی راضی ام   اگه بخوام ایراد بگیرم  صداش هست که اون هم نسبت به کیفیت و امکانات و قیمتش اصلا اهمیت نداره برام ,72,1
4 ماهه خریدم بشدت راضیم از عملکرد   طراحی عالی جنس کفی خوب عملکرد و اتوکشی محشر من بشدت رو اتو شدن لباسام وسواس دارم  گاها حتی کت و شلوار و میدن اتوشویی پسش ک میگیرم باز خودم ی دستی بهش میکشم  این محصول منو راضی کرد  ,92,1
رنگ پوست من کلا روشنه ولی این رنگ کرم پودر چندین درجه از منی که سفیدم روشن تر بود   پوشش دهی و ماندگاری عالی داره برای پوست چرب من بعد از 12 ساعت پوستم برق نیوفتاد ولی اگر این رنگ رو انتخاب کنین به تنهایی قابل استفاده نیست باید با یه رنگ تیره مخلوطش کنین تا بشه استفاده کرد   ,76,2
کم صدا و قیمت مناسب  ,80,1
واقعا پنکه خوبیه  پایه ی قوی و محکمی داره   بیصداست کنترلش خیلی بدرد میخوره   هیچ عیبی نداره ممنون از دیجی کالا ,60,1
انوی خوب و خوش دستی هست  رنگ صورتیش واقعا زیباست  و اگر طبق دفترچه راهنما باهاش کار کنید هیچ مشکلی پیش نمیاد  ولی بهتر بود سیستم ضد چکه هم داشته باشه  تو این رنج اون رو پیشنهاد میکنم ,88,1
من به شدت از دیجی کالا راضیم  این گوشی از چیزی که اینجا نوشتین بهتر بود  8 گیگ بودو دوربینش فلش داشت  یعنی من یک گوشی بهتر از چیزی که سفارش داده بودم دریافت کردم  مگه داریم     نسبت به هزینه ای که میکنید امکانات و کیفیتش عالیه   مرسی از دیجی کالای عزیز که در حد سایتای فروش خارجی فعالیت میکنه  خدمات پس ازفروش  ارسال  کیفیت  همه چییش حرف نداره  ,76,1
اگه همزن ساده برای استفاده خونگی می خواین این بهترین انتخاب موجوده   صداش ملایمه برعکس برند های دیگه و اعصاب کسی رو بهم نمی ریزه قدرتشم کاملاً با حجم کاسه متناسبه قدرت های بیشتر هم وجود دارن ولی خب اون همزن ها کارای جانبی بیشتری هم انجام میدن  مثلاً قابلیت اتصال به مجموعه های غذاساز     ,100,1
فقط در یک کلام فقط نام سونی را یدک میکشد  البته اگر در شگفت انگیز خرید کنید و برای گوش دادن مثلا به رادیو مناسب خواهد بود  ,28,3
تنها نقطه مثبتش ظاهرش هست  وقتی اب به جوش میاد فورا اتوماتیک نمیکنه و شروع میکنه به لرزه  کتری با این که قنجاییش با بیشتر کتریها یکی هست اما سایزش خیلی بزرگتره  و البطه صدای زیاد مشکل دیگش هست  وبعضی وقتها درش گیر میکنه و باز نمیشه ,52,3
قابلمه های تفال بسیار با کیفیت هست تا به الان چند سری خریدم و راضی بودم ,100,1
دوستان در مقایسه با اتو پایه دار که کلی جا رو اشغال میکنه و حمل و نقل سخت این عالیه لذت اتو کردن راحت و سریع و بدون دقدقه از اینکه چه روی چه دمایی بگذارید  پس از دو دقیقه هر پارچه ای که قابلیت اتو شدن را داره میتونید بدون واهمه و بدون تنظیم حرارت اتو کنید ,100,1
حتما خرید اون رو پیشنهاد میکنم عالیه ,92,1
با توجه به قیمت حتما پیشنهاد میکنم  صدای شفاف و عالی  کیفیت خوب ,92,1
دستگاه خوب و مناسبی  ارزش خریدن و داره  من ک راضیم ,60,1
خیلی قشنگه ول وقتی به دستم رسید دیدم خیلی کوچولو و سبکه و برای اتو چادر یا پرده خوب نیست ,24,3
خیلی خوب بود من خوشم اومد   کیفیت صداش خوبه کیفیت خودش هم خوبه ,100,1
بی کیفیت ,20,3
خیلی عالیه و بدون هیچ دلهره ای هر جنس پارچه رو میشه اتو کرد ,100,1
من این گوشی رو از دیجی کالا تهیه کردم  متاسفانه بعد از شش ماه گوشی مداوم دچار هنگ میشد و تاچ گوشی از کار افتاد  شوربختانه گارانتی سامتل قشم هم به هیچ عنوان پاسخ گوی تماس ها نیست ,60,1
یک ماهه خریدم از دیجیکالا خریدم  و راضی هستم خریدش رو توصیه میکنم ,92,1
الان بدستم رسید کیفیتش خیلی خوبه ولی سنگینه اگه دو تا دسته داشت بهتر بود ,60,2
سلام ی هفتست ک  خریدم بعد از کلی تحقیق اینو خریدم مزایای مهم داشتن حسگر اثرانگشته و نور پس زمینه کیبورد روشنایی ال سی دی هم واقعا عالیه جای هیچ بحثی درش نیست فقط بدیش جذب خیلی زیاد اثر انگشته ک اونم با ی پک  تمیز کننده حل میشه فقط برای تمیز کردن حتما از دستمال و مایع مخصوص استفاده کنید داغ نمیکنه اصلا فقط یکی از بدیاش اینه ک وقتی در درایو دیسک قرار میدی صدای خیلی بلندی میاد والا نمیدونم مشکل چیه من واسه اولین باره لپ تاپ میگیرم و قبلا pc داشتم فقط تنها چیزی ک دلمو زد ی عیب هست ک واقعا نمیدونم عیب هستش یا مدل لپ تاپاست اگه دوستان میدونن راهنماییم کنن تا از نگرانی در بیام سمت درایو وقتی حتی دیسک توش نیست صدای عجیبی میاد مثل صدای خرخر یا شرشر خیلی یواش آب واقعا نمیدونم صدای چیه ب هرکی هم گفتم بهم خندیده واسم خیلی عجیبه اگه کسی میدونه چیه لطف میکنه برام توضیح بده ,60,1
الان 9 ماهه دارمش لپ تاب خوبیه ولی از ایسوز انتظارم بیشتر بود آخه قبلا دل داشتم راسی ویندوز روش نصب نمیشد ک دیجی اومد ببردش و 10 نصب کرد ولی من 7 میخاسم نصب کنم ک بتز نشد ناچار بایوس لپ تاپ و آپدیت کردیم و کلی متن نصب ویندوز خوندم تا بعد از یک هفته نصبش کردم ,56,2
من این اتو رو تو شگفت انگیز خریدم  هنوز استفاده نکردم  فقط یبار در حد 2ثانیه زدم به برق  فوری داغ شد  ظاهرا که اتوی خوبیه نسبت به قیمتش  برای من سبک بودن اتو مهم بود که کار کردن باهاش برام خسته کننده نباشه  ,64,2
کلا لنوو ها کیفیت بدنه پایینی دارند این دستگاه کیبرد بی کیفیتی داره اصلا تایپ باهاش راحت نیست ,60,2
عاللللیییی ,60,1
من این تبلت رو چند ماه پیش از دیجی خریدم  عالیه اما برا کار دانشجویی من فتوشاپ هم کارک کردم خوب بود ولی بیشتر بدرد کار ساده میخوره  از طرفی سبک زیبا و شارژ دهی عالی داره ,80,1
روش سالم برای پخت غذا هست    با توجه به قیمت من این مدل رو خریدم  و ازش راضیم   فقط سولفات و رسوب کردن اب در قسمت heater یه کم نگرانم میکنه ,84,1
خیلی خوب تیرگی دور چشم رو میپوشونه و خیلی هم جلوش طبیعی و زیباست ولی بنظرم لومی مجیک یکم بهتر بود ,72,1
ما چون دو نفریم و میخواستم مرتب استفاده کنم اینو انتخاب کردم نیم لیتر روغن مصرف میکنه نهایت برای 4 نفر مناسبه در کل راضیم ,80,1
برای بار دوم هست که از هدفون های تو گوشی پاناسونیک استفاده میکنم  دفعه پیش هم از دیجی خرید کردم  با وجود اینکه پاناسونیک به صورت حرفه ای در این زمینه فعالیت نکرده ولی واقعا هدفون های تو گوشی خیلی خوبی تولید کرده  کیفیت پخش اهنگ این مدل در صورت تنظیم موزیک پلیر گوشی یا لپ تاپ بسیار خوب هست  واقعا باس خوبی داره  وضوح صدا بالاس و اصلا اذیت نمیکنه  از لحاظ ارگونومی هم خیلی خوب تو گوش جا میگیره  سه جفت سری داره که با تعویض اونا میتونید متناسب با اندازه گوشتون استفاده کنید  صدای میکروفون خوبی داره  صدا رو خوب انتقال میده  هدفون وان مور  پیستون فیت رو استفاده میکردم همیشه مشکل انتقال صدا داشتم  طرف مقابل گاهی وقتا از ضعیف شدن صدام گلایه میکرد  این کالا رو وقتی تخفیف خورده بود خریدم قیمت تخفیف خورده اش نسبت به هم رده های قیمتی واقعا ارزش خرید داره  اصلا شک نکیند  در حالت قیمت واقعیش هم همچنان ارزش خرید داره چون واقعا کیفیت پخش بسیار بالایی داره   تنها مشکلش کیفیت نه چندان بالای سیم و پلاستیک هستش  ولی این قضیه باعث خرابی زودهنگام این هدفون نمیشه  چون دقیقا مدل قبلی رو با اینکه ارزونتر خریده بودم  خیلی ازش استفاده میکردم  مدام به صورت مچالهتوی جیبم لای کلید هام بود  خیلی سخت ازش کار کشیدم و نسبت بهش حساسیتی نداشتم  دو سال و نیم بدون مشکل کار کرد و بالاخره بعد از دو سال و نیم ارتباط یکی از هدفون ها قطع شد  پس نگران ظاهر ضعیفش نباشید  ,76,1
واقعا دستگاه خوبی و پیشنهاد میکنم  کیفیت چاپ رنگی و سیاه سفید سرعت چاپ و یه امکان خوبی که داره به موبایل وصل میشه و میشه باهاش هر عکس و فایل pdf رو به راحتی پرینت گرفت  به سرعت به وای فای وصل میشه   فقط من نمیدونم دیجی کالا چرا انقدر دیر فرستاد محصول واقعا متاسفم واسه این همه  بی توجهی نزدیک یک هفته منتظر دستگاه بودم یعنی از بیرون میخریدم بهتر بود دیجیکالا باید یه فکری واسه این موضوع بکنه قیمتشم با بیرون زیاد تفاوت نداره خیالتون راحت   اگه یه پرینتری می خواید که زیاد استفاده کنید  به شما پیشنهاد میکنم نمیشه گفت یه دستگاه خونگی یه دستگاه قوی سطح متوسط hp و حتی میتونه حتی واسه شرکت های کوچک هم مناسب باشه ,96,1
مشابه سایر محصولات تفال از کیفیت بسیار خوبی برخوردار است بنظر نوار آب بندی خیلی بادوامی نداره و در دستورالعمل خودش هم تاکید کرده که سالی یکبار باید تعویض شه از تمامی زودپزهای تفال ارزانتر است ولی به همان نسبت ساده تر هم هست  قفل کلیپسی اتوماتیک ندارد که خیلی هم مهم نیست برای خانواده 3 تا 4 نفر کفایت میکند در پیشنهاد شکفت انگیز خریدم که بسیار می ارزید ,100,1
رمش پایینه اما برای برنامه نویسی عالیه ,76,1
لطفا موجود و در شگفت انگیز قرار دهید ,84,1
با این قیمت مناسب گزینه خوبی برای سرگزم شدنه ,48,3
من سه روزه گرتم باتخفیف درکل راضی کننده است ممنون دیجی کالا و سپاس پارس خزر ,72,1
اگه شکسته نباشه میتونه خوب باشه ,12,2
بسیار عالی من برا خدمات کامپیوتری گرفتم عالیه ,60,1
با سلام   من این باند رو روی تاقچه عقب ماکسیما نصب کردم بسیار خوش صدا است و بیس بسیار عالی داره   کسانی هم که میگن بیس نداره یا مثبت و منفی باند رو برعکس زدن یا پخش خوردوشون جالب نیست   در ضمن بدون امپلی هم بیس خیلی خوبی داره و نیازی نیست که حتما بهش امپلی وصل شه ,84,1
دو ماهی میشه خریدم خیلی خوب در حد فیمتش مناسب ,60,1
در کل سینمای خانواده مناسبی هست  بالطبع اون انتظار رو از سینماهای خانگی دالبی و محیطی رو نخواهد داشت ولی رضایت بخش هست نسبت به قیمتشش  در این محدوده قیمت میشه گفت یکی از بهترینهاست و حتی یه سر و گردن بالاتر از هم رده هاش  فقط کنترل دستگاه حرفه ای نیست و خیلی ساده است  ,88,1
جمعه از دیجی سفارش دادم امروز به دستم رسید خیلی هدفون باکلاسیه کیفیت صداش خیلی خوبه و bass هم عالی مخصوصا برای اونی که موزیک سبک رپ و هیپ هاپ و متال و راک گوش میدن کلا برای موزیک گوش دادن خیلی خوبه وصداش بدون نویزه وفرکانس پاسخگویی هم که دیگه تو مشخصات فنی نوشته با این فرکانس همه صداهارو چه زیر چه بم میتونی بشنوی نسبت به قیمتش خیلی خوبه اگه در همین حد بودجه دارید و یه هدفون خوب برای موزیک گوش دادن میخواهید تو خریدنش شک نکنید تنها بدی که من دیدم اینه که وقتی زیاد میزاری رو سرت پد هاش عرق میکنه و یکم رو سر اذیت میکنه ولی اگه درحد یک ساعت باهاش کار کنی همچین حسی پیدا نمیکنی ,72,1
بسیار راضی هست مادر ام از وقتی براش هدیه خریدم ,100,1
دوستان من خیلی تحقیق کردم بین LG و ایکس ویژن مردد بودم  قیمت ایکس ویژن خیلی مناسب تر و گارانتی اون عالیه کیفیت تصویر این مدل واقعا عالیه اینو وقتی متوجه میشید که یه کلیپ 4k بزارید  شبکه های ایران کیفیت تصویر پایینی دارند  کارکردن با اون بسیار راحته دوستانی که نوشتن 30 ثانیه طول میکشه تا بالا بیاد اصلا اینطور نیست حداکثر 15 ثانیه زمان میبره اونم بخاطر لود کردن کانالهای دیجیتال هست درضمن LG بیشتر از این زمان میبره تا بالا بیاد  طراحی بسیار زیبایی داره  2 عدد کنترل داره پنل این مدل گرید A هست  ,100,1
من این دوربین رو حدود 1 ماه پیش خریدم به عنوان دوربین میان رده خوبه اما چند ویژگی بد داره یکی از مهم ترین هاش اینه که آپشن های پایینی داره و در روز های خیلی آفتابی عکس ها کمی تار میفته اما در کل دوربین خوبیه من از کیفیت فیلم ها عکس هاش راضیم و ظاهر قشنگی داره و زمان شارژ شدنش و نگهداری باطریش خوبه اگه دنبال یه دوربین میان رده میگردید این گزینه مناسبیه ,80,1
واقعا بعیده از دیجی کالا که بعد 4 روز هنوز نفرستاده این کالا رو واسم هر روز یک پیام میاد و تازه بعد 4 روز فاکتور شده پیگیری هم میکنی میگن حتما تا فردا میفرستیم ,60,2
من تقریبا 1 ماهه هست که استفاده می کنم ویندوز کاملا روان و بی نقص است  شارژدهی واقعا عالیه   یک نکته مهم هم بگم که دیجی کالا دو پورت USB 2 0 معرفی کرده که  اشتباه هست این لب تاب شامل یکUSB3 0 و یکUSB2 0 هست   به نظر من تنها نقطه ضعف این لب تاب طراحی دکه پاورش هست که فاجعه چون جای قرار دارد که معمولا سطح اتکا لب تاب برای  بلند کردن است  ,72,1
سلام به دیجی کالا و مصرف کنندگان عزیز این تلوزیون واقعا عالیه یکی از دوستانم خریده و قصد دارم اینو تا یکی دو ماه دیگه هم بخرم امیدوارم تو اون موقع موجود باشه ,92,1
من بخاطر گوشم مجبورم از هدفون های bone conduction technology استفاده کنم و این هدفون تنها گزینه ای بود که در  ایران تونستم پیدا کنم و با اینکه می دونستم این هدفون صدای کمی داره بازم بخاطر شرایط گوشم تنها گزینه من بود  خیلی سعی کردم باهاش کنار بیام ولی واقعا حجم صدا خیلی کمه بطوریکه هنگام دویدن در یک خیابون خیلی خلوت  وقتی یک ماشین از 20 متری شما رد می شه دیگه نمی تونید صدای موزیک رو بشنوید  اگرچه این هدفون زیبا و سبکه ولی به درد موسیقی گوش کردن نمی خوره  روی جعبه نوشته مخصوص آیفون و آیپد و گوشی من آیفون 6 بود و صدا خیلی کم بود  رو Laptop هم تست کردم و بازم مشکل صدا باقی بود  تکنولوژی bone conduction مال سال 2008 عه ولی هنوز یک هدفون خوب تو ایران نیست خلاصه  نخرید ,44,3
فوق العاده کیفیت پایینی داره   یه بار فقط باهاش کار کردم و سر مته سیاه شد و سوخت    اگه جنس یه بار مصرف میخوایین خوبه بخرین  ,32,3
بنده خدا کسی که پوست صاف و بدون اشکال داشته باشه اصلا نیازی به استفاده از کرم پودر نداره کرم پودر برای همین تولید شده که پوست رو یکنواخت کنه ,48,3
اینو از دیجی خریدم دیروز رسید دستم همه چیزش عالیه پرینت هر عکس 48 ثانیه طول میکشه که خیلی خوبه کیفیت عکسا بستگی به کیفیت خود عکس داره بدون نیاز به نرم افزار هم میشه مستقیم از خود گوشی بهش دستور چاپ داده بشه اما اپ مخصوص خودش رو برای اندروید نتونستم گیر بیارم که باز موردی نبود مهمتر از همه قیمت تمام شده هر عکسه که تقریبا براتون 1200 تومن در میاد به ازای هر عکس در صورتی که بیرون بدین چاپ کنن 2 تا 3 تومن تموم میشه  در نهایت دستگاه خوبیه ,76,1
کیفیت تصویر خوب ولی ضعف های زیادی داره تغییر کانالها با مکث زیاد   کیفیت صدای پائین و کنترل ناکارآمد ,80,1
قیمت وکیفیت مناسب ,68,1
